yorum,konu,sentiment,sentiment_score,duygu
"müzik kalitesi bakımından çok iyi fakat bir süre sonra istediğim müziği dinleyemiyorum, müziklere tıkladığımda çalmıyor. uygulamayı her seferinde silip tekrar indirmekten yoruldum. bir çözüm bulunursa çok iyi olur.",performans,negatif,30,hayal kırıklığı
Spotify essegine bin basar,performans,pozitif,90,mutluluk
efsanestar ses kalitesi açık ara tüm müzik uygulamalarının üzerinde 👑,performans,pozitif,90,mutluluk
Valla benim.320 kbps mp3 lerden pek farki yok 😄 yada dinlemek icin baska edevat lazim galiba,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,80,mutluluk
Şu uygulama varken Spotify falan hikaye özellikle kayıpsız ses özelliği mükemmel. Teşekkürler Apple teşekkürler inşallah aşırı yüksek fiyat artışı olmazda keyfini uzun uzun süreriz.,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
"Bu ne lan böyle böyle büyük bir şirketin basit kod hatalarıyla iphone'a geçirtme çabası mı olur. Kimse dememiş mi? Patron bu böyle olmaz etik değil, yaprak gibi olur diye.",performans,negatif,20,hayal kırıklığı
"Kendi kendine şarkı atlamalar mı dersininiz, playliste yeni eklediğim şarkıları indirmemesi mi çok fazla hata var. Memnun kaldığım tek şey ses kalitesi ve hareketli kapaklar.",performans/arayüz,negatif,30,hayal kırıklığı
Bazı bilmeyenler için yazıyorum Samsung kullanıp uygulama iç satınım alımlarını almadan müzik indirilmiyor sırf telefonunuz android diye gelip kötü yorum bırakmayın saçma sapan şöylerle uğraşıp zaman kaybetmeyin android seniz sadece kullanmayın iPhone'e için çok güzel bir uygulamadır.,performans/arayüz/fiyat/içerik,negatif,20,öfke
spotifyı kullandığınıza pişman oluyorsunuz,hizmet,negatif,20,hayal kırıklığı
Harika,performans,pozitif,90,mutluluk
Playlistteki geçmiş şarkılara badılı tutup tekrar sıraya ekleme özelliği androidde yok. Onuj getirilmesi gerekiyor bu haliyle eksik olduğunu düşünüyorum. Sevdiğim bir müzik uygulaması fakat youtube music gibi şarkılar tek listede olmalı. Önceki şarkıyı tekrar sıraya ekleyebilmeliyiz. Playlistten ortadaki şarkıyı seçtiğimizde arkasındaki şarkılar playlistten siliniyor bu da kötü bir özellik.,arayüz,negatif,30,hayal kırıklığı
"3 Ay bedava hizmet veriyorsunuz söz de ne Amazon da ne de Spotify da yaşamadığım saçmalığı siz de yaşıyorum, ben böyle fırsatlar da erkenden aboneliği iptal ederim, belirttiğim uygulamalarda sıkıntı yok ama elmacık da yok hesabınıza erişim isteği atın yok kitledik zart zurt, ya bilader ne haltıma veriyorsun o zaman ""3 ay bedava"" söz de! Böyle çakallık peşine düşecek olana benim sonradan verecek param da yok.",hizmet/fırsat/abonelik/uygulama/çakallık,negatif,10,"öfke, hayal kırıklığı"
Gerçekten ses kalitesi olarak rakiplerini açık ara ezip geçiyor diğer müzik platformlarında sarkilardaki ufak detayları duyamazken bunda çok rahat duyuyorum ayrica cihazımda dolby atmos desteği var ve uygulamayla birlikte o kadar gerçekçi bir ses deneyimi sunuyor ki açık ara tüm müzik platformlarindan kat ve kat daha üstün uyg içi tasarım olarakda çok başarılı,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
Spotifyla karşılaştırmak gerekirse ses kalitesi olarak apple music kesinlikle daha iyi hız animasyonlar falan spotifydan daha iyi fakat buglar çok fazla ve şarkıların stream sayıları görünmüyo. Ses kalitesine çok takılmıyorsanız veya iyi bir kulaklığınız yoksa çok bir artısı yok spotifya göre,performans/arşiv/arayüz/fiyat/içerik/reklam,nötr,50,nötr
Nuriya daskynbayeva,arayüz,nötr,50,nötr
Samsung Galaxy S24 Fe does not work properly on the device.,performans,negatif,20,hayal kırıklığı
lutfen bedava yapin saniyede 2 reklam ciksa bile kullancam ya,fiyat/reklam,pozitif,80,mutluluk
android kullandığımdan mı bilmiyorum ama şarkı geçişlerinde sorun var ve bir şarkı açınca sıradiki şarkıları saçma öneriyor,performans/arayüz,negatif,30,hayal kırıklığı
Harika bir arşiv yaptım bulunamayan parça yada liste yok harika üstelik androidde,arşiv,pozitif,90,mutluluk
Replay'imi verin la,performans,negatif,20,öfke
biraz daha kolay kullanımlı bir arayüz istiyorum Spotify dan buraya geçtim evet Spotify dan gerçekten çok daha iyi ses veriyor ama ara yüzü maalesef Spotify'in daha iyi...,arayüz,negatif,30,hayal kırıklığı
İYİ,genel,pozitif,80,mutluluk
Oğrenci planı ile ödeme yapılmıyor LAN BEN SABANCI'DA OKUYORUM SİZ KİM BOKEUNUZ DA BURAYI UNİVERSİTEDEN SAYMIYOSUMUZ DUNYA SİRALAMSİNDA 30. OLAN UNİVERSİTE LAN BURA,ödeme,negatif,95,öfke
